Home-Team,Away-Team,Home-Goals,Away-Goals
Portugal,France,1,1
Ivory Coast,South Africa,0,0
Uzbekistan,Netherlands,1,0
Portugal,Tunisia,2,1
Mexico,Czech Republic,1,2
Japan,Belgium,3,2
South Korea,Portugal,0,2
Uruguay,Australia,0,0
Iran,Croatia,1,0
Panama,Tunisia,1,1
Curacao,Turkey,0,0
South Africa,Jordan,3,1
Scotland,France,0,1
Bosnia and Herzegovina,Congo DR,0,0
Turkey,Bosnia and Herzegovina,0,0
Netherlands,Belgium,1,2
Japan,Morocco,0,1
Netherlands,New Zealand,1,1
Congo DR,Germany,1,2
Switzerland,Iran,4,0
Curacao,Austria,0,3
Mexico,Cape Verde,1,1
Saudi Arabia,Japan,1,3
Czech Republic,Paraguay,0,0
Japan,England,4,0
Brazil,Saudi Arabia,2,1
Norway,Switzerland,1,1
Argentina,France,1,1
Austria,Belgium,1,1
Saudi Arabia,Japan,1,2
Croatia,New Zealand,0,0
Panama,Congo DR,1,1
Curacao,Norway,0,1
Congo DR,France,0,3
Morocco,Portugal,0,3
Ghana,Germany,1,0
Tunisia,Argentina,1,2
Australia,Qatar,3,3
Congo DR,Germany,1,2
Norway,Belgium,2,2
Argentina,Turkey,1,0
Australia,Argentina,1,1
South Korea,Mexico,0,0
Cape Verde,Uruguay,1,1
Bosnia and Herzegovina,Netherlands,0,2
South Korea,Congo DR,3,0
Canada,South Africa,1,5
New Zealand,Germany,1,4
Uruguay,Croatia,1,1
Colombia,Canada,0,1
Spain,Colombia,1,1
New Zealand,Austria,0,2
Canada,Bosnia and Herzegovina,1,2
New Zealand,Uruguay,1,3
Switzerland,Croatia,1,3
Ghana,Netherlands,0,0
Algeria,Argentina,0,0
Sweden,United States,1,0
Senegal,Ivory Coast,4,2
South Korea,Turkey,0,1
United States,Spain,0,2
Bosnia and Herzegovina,Senegal,0,1
Egypt,Austria,0,5
Switzerland,Portugal,0,1
Switzerland,South Korea,0,2
Jordan,Czech Republic,0,1
Egypt,Cape Verde,2,2
Tunisia,Austria,2,5
Spain,Morocco,1,0
Japan,Colombia,2,1
Qatar,Japan,1,0
Argentina,Netherlands,3,1
Iraq,Norway,2,2
South Korea,Haiti,0,3
Ecuador,Norway,2,2
Iraq,Czech Republic,0,1
Morocco,Algeria,1,1
Uzbekistan,Senegal,4,1
Japan,Argentina,0,1
Curacao,Norway,2,0
France,Scotland,2,2
Tunisia,Cape Verde,2,0
Haiti,New Zealand,2,1
New Zealand,Bosnia and Herzegovina,2,1
Senegal,Australia,2,1
Norway,Portugal,0,0
Bosnia and Herzegovina,Austria,1,3
South Africa,Ecuador,5,0
Bosnia and Herzegovina,Morocco,0,3
Haiti,Turkey,0,0
Czech Republic,Turkey,1,0
Bosnia and Herzegovina,Canada,1,1
Ecuador,Egypt,1,1
Ghana,Iran,0,1
Congo DR,Belgium,1,3
Senegal,Canada,1,0
Bosnia and Herzegovina,Algeria,1,2
Cape Verde,New Zealand,1,0
Colombia,South Africa,1,1
Uzbekistan,Turkey,0,1
Egypt,Congo DR,3,0
France,Turkey,2,1
Norway,Qatar,3,1
Iraq,Jordan,3,2
Ecuador,Ivory Coast,0,0
Panama,Cape Verde,0,0
Mexico,Czech Republic,1,2
Sweden,New Zealand,2,2
Croatia,Bosnia and Herzegovina,3,1
Brazil,Iran,3,0
Czech Republic,Bosnia and Herzegovina,2,1
Saudi Arabia,South Africa,1,1
Austria,Brazil,2,4
Uruguay,Cape Verde,1,1
Turkey,United States,3,2
Senegal,Germany,0,1
Spain,Argentina,2,2
Uruguay,Sweden,1,0
South Africa,Portugal,2,1
Ivory Coast,Canada,1,2
Saudi Arabia,Uzbekistan,0,0
Senegal,Curacao,1,1
Ghana,Algeria,0,2
Paraguay,Egypt,0,0
Uruguay,Germany,2,4
Jordan,Ghana,0,0
France,Netherlands,0,2
Norway,United States,3,1
Colombia,Ghana,1,0
Scotland,Ivory Coast,2,3
England,Congo DR,2,0
Uruguay,Morocco,0,1
Ivory Coast,Belgium,0,2
Ivory Coast,Bosnia and Herzegovina,2,0
Scotland,Congo DR,4,2
Iraq,Ecuador,0,3
Panama,South Africa,1,1
Haiti,Czech Republic,2,3
Norway,Congo DR,3,1
Panama,Croatia,3,1
New Zealand,Sweden,1,1
Panama,Japan,1,1
Uruguay,Saudi Arabia,0,1
Switzerland,Scotland,0,2
Paraguay,Saudi Arabia,1,2
Uruguay,Switzerland,0,1
Panama,Portugal,1,3
Curacao,Iran,2,0
Uruguay,Switzerland,0,2
Austria,Ecuador,1,2
Tunisia,Brazil,1,1
Belgium,Germany,2,2
United States,Algeria,1,0
Ghana,Germany,1,2
Curacao,Mexico,1,3
Portugal,Canada,0,4
Canada,Austria,0,0
Tunisia,Ivory Coast,1,2
Canada,England,0,1
Algeria,Qatar,1,1
Ghana,Spain,2,0
Uzbekistan,Algeria,0,2
Sweden,France,0,2
South Korea,Turkey,1,1
Algeria,Canada,2,1
Tunisia,New Zealand,0,2
New Zealand,Tunisia,0,0
Iraq,United States,1,1
Paraguay,United States,1,1
Switzerland,Norway,1,3
Paraguay,Spain,1,4
Algeria,Austria,1,2
Bosnia and Herzegovina,Cape Verde,1,1
Egypt,Haiti,2,3
Croatia,Ivory Coast,1,4
Belgium,South Africa,1,1
Tunisia,Spain,3,1
Egypt,Qatar,1,2
Uzbekistan,Bosnia and Herzegovina,1,1
Spain,Brazil,4,1
Jordan,Norway,1,4
Belgium,Ivory Coast,0,1
Colombia,England,1,3
Japan,Algeria,3,1
Ecuador,Mexico,1,0
Ivory Coast,Ecuador,1,0
Austria,Algeria,0,3
Switzerland,Canada,1,1
Japan,Brazil,1,2
Sweden,Spain,0,2
New Zealand,Tunisia,1,2
England,South Korea,0,0
United States,Jordan,1,1
Portugal,Jordan,4,1
Argentina,Spain,1,2
Uruguay,Senegal,1,3
Spain,South Africa,1,0
Germany,Uruguay,1,0
Belgium,Sweden,1,0
Bosnia and Herzegovina,Morocco,0,4
Uzbekistan,Mexico,1,1
Ivory Coast,Ghana,1,0
Japan,Australia,2,1
Croatia,Iraq,4,1
Iraq,New Zealand,0,1
Curacao,Morocco,2,3
Croatia,Turkey,1,1
Netherlands,Qatar,3,0
Spain,Turkey,1,0
Uzbekistan,Cape Verde,0,2
Algeria,Egypt,1,2
Curacao,Senegal,0,0
Portugal,Qatar,2,0
Ghana,Saudi Arabia,0,1
Uruguay,Netherlands,2,0
Ghana,Turkey,0,1
Cape Verde,Iraq,0,2
Morocco,Uzbekistan,4,1
Argentina,South Korea,2,1
Tunisia,Norway,1,1
Bosnia and Herzegovina,Australia,0,0
Portugal,Czech Republic,2,4
Jordan,Austria,2,3
France,Canada,1,0
Paraguay,Netherlands,0,2
Norway,Australia,3,2
Saudi Arabia,Ivory Coast,3,1
Curacao,Germany,1,0
Norway,Colombia,2,2
Haiti,Scotland,2,0
Jordan,Switzerland,1,1
South Africa,Tunisia,1,1
Sweden,Ivory Coast,2,0
Norway,Haiti,1,2
Qatar,Switzerland,3,2
Ecuador,Uruguay,1,1
Brazil,Switzerland,2,0
Panama,Uruguay,2,3
Ivory Coast,Uzbekistan,2,0
South Africa,Bosnia and Herzegovina,1,2
Algeria,Austria,1,1
Spain,Paraguay,1,0
Ecuador,Colombia,4,2
Paraguay,Mexico,0,1
South Korea,Japan,2,1
Austria,Switzerland,0,0
Iraq,Ghana,1,1
Switzerland,Congo DR,1,3
France,Scotland,2,0
Senegal,Brazil,0,2
Uruguay,Haiti,2,1
Canada,Paraguay,3,0
Congo DR,Uruguay,0,0
Ghana,Sweden,0,1
Jordan,Curacao,0,1
Paraguay,Panama,1,1
Spain,Brazil,1,1
Iran,United States,1,2
Egypt,Ghana,4,1
Uruguay,Turkey,2,1
Bosnia and Herzegovina,Qatar,1,2
Australia,Sweden,0,0
Congo DR,Scotland,0,0
South Korea,Norway,2,0
New Zealand,Congo DR,2,2
Austria,South Korea,1,0
Ghana,Ivory Coast,3,1
Switzerland,Turkey,1,2
Japan,United States,0,1
Morocco,Haiti,1,0
Senegal,Ecuador,2,3
Morocco,New Zealand,3,0
Tunisia,Ghana,2,1
Colombia,Senegal,2,2
Mexico,New Zealand,1,2
Sweden,Switzerland,2,1
Haiti,Qatar,2,2
Scotland,Iraq,1,0
Iran,Netherlands,0,2
Senegal,Iran,2,4
United States,Australia,3,2
Colombia,Turkey,0,2
France,Curacao,2,1
Tunisia,Belgium,3,1
Switzerland,Argentina,2,2
England,Congo DR,0,2
Iran,Ghana,0,0
Belgium,Saudi Arabia,1,2
Paraguay,Netherlands,1,3
France,Uzbekistan,2,1
Iran,Sweden,0,1
Sweden,Panama,1,2
Austria,Colombia,1,0
England,Japan,2,0
Sweden,Morocco,3,1
Portugal,Egypt,2,1
Paraguay,Portugal,1,2
Uzbekistan,Saudi Arabia,1,3
Cape Verde,England,2,2
Germany,Uzbekistan,0,2
Turkey,Brazil,0,1
Uruguay,Morocco,1,1
Congo DR,Canada,0,1
Iraq,South Africa,3,1
United States,Scotland,0,0
Algeria,Panama,1,3
Saudi Arabia,Morocco,1,2
Spain,New Zealand,3,0
Switzerland,Uruguay,0,1
United States,Belgium,0,1
New Zealand,Netherlands,0,2
Cape Verde,New Zealand,0,0
Tunisia,Brazil,0,2
Qatar,Norway,0,3
Argentina,Spain,2,2
Brazil,Mexico,2,0
United States,Czech Republic,1,2
Iraq,Spain,1,3
Congo DR,Senegal,1,2
Curacao,Jordan,2,1
Ghana,Tunisia,2,0
Canada,United States,0,1
Panama,Qatar,0,0
Switzerland,France,1,1
Croatia,Ghana,1,0
Norway,Austria,1,1
Switzerland,Germany,1,2
Mexico,Austria,1,2
Netherlands,Brazil,0,1
Algeria,Netherlands,0,2
South Korea,Iraq,2,0
Japan,Argentina,1,2
Haiti,Ivory Coast,1,3
Tunisia,Morocco,0,1
Algeria,Brazil,0,1
Congo DR,Iran,1,0
Saudi Arabia,South Africa,0,2
Australia,Uzbekistan,1,1
Senegal,Curacao,2,0
Portugal,Argentina,1,2
Bosnia and Herzegovina,United States,1,1
Iran,Brazil,1,2
United States,Netherlands,0,1
Algeria,Switzerland,1,1
Ivory Coast,Saudi Arabia,1,0
Australia,Croatia,0,1
Australia,South Korea,0,1
Mexico,Bosnia and Herzegovina,1,0
Switzerland,Ghana,1,0
Cape Verde,Jordan,0,1
Portugal,Iraq,2,0
Saudi Arabia,Croatia,0,1
Tunisia,Haiti,1,0
Uruguay,Croatia,1,1
Ivory Coast,Algeria,1,0
Switzerland,Saudi Arabia,1,0
Ghana,Congo DR,1,0
United States,Cape Verde,1,0
Ecuador,England,0,2
United States,Argentina,0,2
Ecuador,Egypt,1,0
Switzerland,Portugal,0,1
Mexico,Uzbekistan,1,1
Curacao,Ecuador,0,1
Mexico,Jordan,1,1
Paraguay,Egypt,0,1
Jordan,Ivory Coast,0,1
Germany,Japan,1,0
Belgium,Uruguay,1,1
New Zealand,Congo DR,0,0
Tunisia,Japan,0,1
New Zealand,Qatar,0,1
Norway,Qatar,1,0
Egypt,Australia,1,1
United States,Belgium,0,1
Czech Republic,Paraguay,1,0
Brazil,England,1,1
Morocco,Germany,0,1
Saudi Arabia,Croatia,0,1
Cape Verde,Norway,0,1
Iraq,Portugal,0,1
Algeria,Iraq,1,1
Ivory Coast,Scotland,1,0
Japan,Congo DR,1,0
France,Cape Verde,2,0
Haiti,Morocco,0,1
Cape Verde,Tunisia,0,1
Switzerland,Jordan,1,0
Austria,Morocco,0,1
Iran,Norway,0,1
Croatia,Ivory Coast,1,0
France,Haiti,3,0
Haiti,Japan,0,2
Czech Republic,Colombia,2,1
Czech Republic,Netherlands,1,0
Saudi Arabia,Turkey,0,1
Saudi Arabia,Czech Republic,0,1
Iraq,Senegal,0,1
Germany,Australia,1,0
Croatia,Tunisia,2,0
Scotland,France,1,2
Iraq,Ecuador,0,1
Paraguay,Spain,0,1
Morocco,Australia,1,0
Turkey,Uruguay,1,1
England,Uruguay,1,0
Uzbekistan,Brazil,0,2
Brazil,Haiti,1,0
Paraguay,Portugal,0,1
Tunisia,Belgium,0,1
Belgium,Bosnia and Herzegovina,1,0
Sweden,Congo DR,1,1
Croatia,Japan,1,1
Scotland,Iraq,1,1
Norway,Mexico,2,1
Tunisia,Haiti,0,0
Ghana,Senegal,0,1
Curacao,Turkey,0,1
Egypt,Bosnia and Herzegovina,1,1
Jordan,Australia,1,1
Panama,Scotland,1,2
Panama,Morocco,1,2
Uruguay,United States,1,0
Portugal,Austria,1,0
Spain,Qatar,2,0
Congo DR,United States,1,1
Qatar,United States,1,2
France,Portugal,2,1
Curacao,Saudi Arabia,1,2
England,United States,2,0
Portugal,Argentina,1,2
Austria,Portugal,1,2
Czech Republic,Uruguay,1,2
Switzerland,Bosnia and Herzegovina,1,0
Paraguay,Mexico,0,0
Tunisia,Belgium,0,1
Haiti,Uzbekistan,0,0
Uzbekistan,Sweden,0,1
Uruguay,Sweden,1,1
Canada,Senegal,1,1
Netherlands,Bosniaand Herzegovina,1,0
Norway,South Korea,1,0
Norway,Canada,1,0
Ivory Coast,Haiti,1,0
England,Cape Verde,1,0
Jordan,Netherlands,0,1
England,Egypt,1,0
Haiti,Austria,1,1
Netherlands,Uruguay,1,1
Senegal,Tunisia,1,0
Panama,Belgium,0,1
Norway,Colombia,1,1
Switzerland,Ivory Coast,0,1
Uruguay,Portugal,2,2
Panama,Congo DR,0,0
Netherlands,England,1,1
Jordan,Tunisia,0,1
France,Brazil,1,1
Uruguay,Croatia,0,0
Canada,Paraguay,0,0
Sweden,Mexico,2,1
Egypt,England,1,1
Croatia,Algeria,1,1
France,Algeria,1,1
Japan,Ivory Coast,1,0
Iran,Norway,0,1
Ghana,Haiti,1,0
Congo DR,Bosnia and Herzegovina,0,1
Curacao,Paraguay,1,0
Germany,Senegal,2,1
Iran,Mexico,0,1
England,Qatar,1,0
New Zealand,Tunisia,0,0
England,New Zealand,1,0
Ecuador,England,2,2
England,Qatar,2,0
Sweden,Czech Republic,1,0
Scotland,Croatia,0,1
England,Czech Republic,1,0
Brazil,Colombia,1,0
Portugal,Iraq,1,0
Portugal,Cape Verde,1,0
Uruguay,Egypt,1,0
Morocco,Uzbekistan,2,0
Uruguay,Qatar,1,0
Iraq,Argentina,1,1
South Africa,Brazil,1,1
Canada,Bosnia and Herzegovina,1,0
Qatar,Uzbekistan,1,0
Scotland,Ecuador,1,1
Japan,Mexico,1,2
Bosnia and Herzegovina,Curacao,1,0
Ecuador,Uruguay,0,1
Japan,Egypt,0,1
Belgium,Bosnia and Herzegovina,1,1
Jordan,Turkey,1,1
Ivory Coast,Ecuador,1,1
Portugal,France,0,0
Ivory Coast,South Africa,0,0
Uzbekistan,Netherlands,0,1
Portugal,Tunisia,1,0
Mexico,Czech Republic,2,0
Japan,Belgium,0,1
South Korea,Portugal,1,0
Uruguay,Australia,1,0
Iran,Croatia,0,1
Panama,Tunisia,0,1
Curacao,Turkey,1,1
South Africa,Jordan,1,0
Scotland,France,0,1
Bosnia and Herzegovina,Congo DR,2,0
Turkey,Bosnia and Herzegovina,1,0
Netherlands,Belgium,1,0
Japan,Morocco,1,2
Netherlands,New Zealand,3,0
Congo DR,Germany,0,2
Switzerland,Iran,2,0
Iraq,Mexico,0,1
Curacao,Austria,0,2
Mexico,Cape Verde,2,0
Saudi Arabia,Japan,0,1
Czech Republic,Paraguay,0,0
Japan,England,0,2
Brazil,Saudi Arabia,2,0
Norway,Switzerland,2,2
Argentina,France,2,2
Austria,Belgium,1,1
Saudi Arabia,Japan,1,1
Croatia,New Zealand,1,1
Panama,Congo DR,1,0
Curacao,Norway,0,1
Congo DR,France,0,1
Morocco,Portugal,1,0
Ghana,Germany,1,0
Tunisia,Argentina,1,0
Australia,Qatar,0,0
Congo DR,Germany,0,0
Norway,Belgium,0,2
Argentina,Turkey,1,0
Australia,Argentina,0,2
South Korea,Mexico,2,2
Cape Verde,Uruguay,0,1
Bosnia and Herzegovina,Netherlands,0,1
South Korea,Congo DR,1,0
Canada,South Africa,1,1
New Zealand,Germany,0,1
Uruguay,Croatia,1,1
Colombia,Canada,1,0
Spain,Colombia,2,2
New Zealand,Austria,0,1
Canada,Bosnia and Herzegovina,1,0
New Zealand,Uruguay,0,1
Switzerland,Croatia,1,0
Ghana,Netherlands,0,1
Algeria,Argentina,0,2
Sweden,United States,2,1
Senegal,Ivory Coast,1,0
South Korea,Turkey,1,0
United States,Spain,1,2
Bosnia and Herzegovina,Senegal,0,2
Egypt,Austria,1,1
Switzerland,Portugal,1,1
Switzerland,South Korea,1,1
Jordan,Czech Republic,0,1
Egypt,Cape Verde,2,0
Tunisia,Austria,1,1
Spain,Morocco,1,0
Japan,Colombia,1,0
Qatar,Japan,0,0
Argentina,Netherlands,1,1
Iraq,Norway,0,2
South Korea,Haiti,1,0
Ecuador,Norway,1,2
Iraq,Czech Republic,1,0
Morocco,Algeria,1,0
Uzbekistan,Senegal,0,1
Japan,Argentina,0,1
Curacao,Norway,0,3
France,Scotland,2,1
Tunisia,Cape Verde,0,1
Haiti,New Zealand,1,1
New Zealand,Bosnia and Herzegovina,1,1
Senegal,Australia,1,1
Norway,Portugal,0,2
Bosnia and Herzegovina,Austria,0,1
South Africa,Ecuador,1,0
Bosnia and Herzegovina,Morocco,1,1
Haiti,Turkey,0,0
Czech Republic,Turkey,1,1
Bosnia and Herzegovina,Canada,1,1
Ecuador,Egypt,0,0
Ghana,Iran,1,0
Congo DR,Belgium,0,1
Senegal,Canada,1,0
Bosnia and Herzegovina,Algeria,1,1
Cape Verde,New Zealand,1,1
Colombia,South Africa,0,1
Uzbekistan,Turkey,1,2
Egypt,Congo DR,1,0
France,Turkey,1,0
Iran,Mexico,0,1
Norway,Qatar,1,0
Iraq,Jordan,0,0
Ecuador,Ivory Coast,0,1
Panama,Cape Verde,0,0
Mexico,Czech Republic,2,1
Sweden,New Zealand,0,0
Croatia,Bosnia and Herzegovina,1,0
Brazil,Iran,1,0
Czech Republic,Bosnia and Herzegovina,1,0
Saudi Arabia,South Africa,0,1
Austria,Brazil,0,1
Uruguay,Cape Verde,1,0
Turkey,United States,1,0
Senegal,Germany,1,1
Spain,Argentina,1,1
Uruguay,Sweden,0,1
South Africa,Portugal,1,1
Ivory Coast,Canada,1,0
Saudi Arabia,Uzbekistan,1,0
Senegal,Curacao,2,0
Ghana,Algeria,2,1
Paraguay,Egypt,0,1
Uruguay,Germany,0,2
Jordan,Ghana,0,2
France,Netherlands,2,0
Norway,United States,2,0
Colombia,Ghana,1,0
Scotland,Ivory Coast,2,3
England,Congo DR,2,0
Uruguay,Morocco,1,1
Ivory Coast,Belgium,1,1
Ivory Coast,Bosnia and Herzegovina,1,2
Scotland,Congo DR,1,0
Iraq,Ecuador,1,1
Panama,South Africa,0,1
Haiti,Czech Republic,0,1
Norway,Congo DR,1,0
Panama,Croatia,0,1
New Zealand,Sweden,0,1
Panama,Japan,0,1
Uruguay,Saudi Arabia,2,0
Switzerland,Scotland,1,0
Paraguay,Saudi Arabia,1,0
Uruguay,Switzerland,1,0
Panama,Portugal,0,1
Curacao,Iran,0,0
Uruguay,Switzerland,0,0
Austria,Ecuador,0,0
Tunisia,Brazil,0,1
Belgium,Germany,0,1
United States,Algeria,1,1
Ghana,Germany,0,1
Curacao,Mexico,0,1
Portugal,Canada,2,2
Canada,Austria,0,1
Tunisia,Ivory Coast,1,1
Canada,England,0,1
Mexico,Canada,1,0
Algeria,Qatar,0,0
Ghana,Spain,0,1
Uzbekistan,Algeria,0,1
Sweden,France,1,1
South Korea,Turkey,1,1
Algeria,Canada,0,0
Tunisia,New Zealand,0,0
New Zealand,Tunisia,0,1
Iraq,United States,0,1
Paraguay,United States,1,1
Switzerland,Norway,1,1
Paraguay,Spain,1,2
Algeria,Austria,1,1
Bosnia and Herzegovina,Cape Verde,1,1
Egypt,Haiti,0,0
Croatia,Ivory Coast,2,1
Belgium,South Africa,1,0
Tunisia,Spain,1,1
Egypt,Qatar,1,0
Uzbekistan,Bosnia and Herzegovina,1,2
Spain,Brazil,2,2
Jordan,Norway,0,2
Belgium,Ivory Coast,2,2
Colombia,England,1,1
Japan,Algeria,0,1
Ecuador,Mexico,1,1
Ivory Coast,Ecuador,1,0
Austria,Algeria,2,0
Switzerland,Canada,1,0
Japan,Brazil,0,2
Sweden,Spain,1,1
New Zealand,Tunisia,0,1
England,South Korea,1,1
United States,Jordan,1,0
Portugal,Jordan,1,0
Argentina,Spain,1,1
Uruguay,Senegal,0,1
Spain,South Africa,1,0
Germany,Uruguay,2,0
Belgium,Sweden,2,1
Bosnia and Herzegovina,Morocco,0,0
Uzbekistan,Mexico,0,2
Ivory Coast,Ghana,0,0
Japan,Australia,0,0
Croatia,Iraq,0,0
Iraq,New Zealand,1,0
Curacao,Morocco,0,1
Croatia,Turkey,1,0
Netherlands,Qatar,1,0
Spain,Turkey,1,0
Uzbekistan,Cape Verde,0,0
Algeria,Egypt,0,0
Curacao,Senegal,0,1
Portugal,Qatar,0,0
Ghana,Saudi Arabia,2,0
Uruguay,Netherlands,2,1
Ghana,Turkey,1,1
Cape Verde,Iraq,0,0
Morocco,Uzbekistan,1,1
Argentina,South Korea,1,0
Tunisia,Norway,0,0
Bosnia and Herzegovina,Australia,1,0
Portugal,Czech Republic,1,0
Jordan,Austria,0,0
France,Canada,2,0
Paraguay,Netherlands,1,2
Norway,Australia,1,0
Saudi Arabia,Ivory Coast,0,1
Curacao,Germany,0,2
Norway,Spain,1,3
Haiti,Scotland,0,0
Jordan,Switzerland,0,1
South Africa,Tunisia,1,1
Sweden,Ivory Coast,1,1
Norway,Haiti,1,0
Qatar,Switzerland,0,0
Ecuador,Uruguay,0,0
Brazil,Switzerland,2,1
Panama,Uruguay,0,0
Ivory Coast,Uzbekistan,1,1
South Africa,Bosnia and Herzegovina,1,1
Algeria,Austria,1,1
Spain,Paraguay,2,0
Ecuador,Colombia,1,0
South Korea,Japan,0,0
Austria,Switzerland,0,1
Iraq,Ghana,0,1
Switzerland,Congo DR,1,0
France,Scotland,2,0
Senegal,Brazil,1,1
Uruguay,Haiti,1,0
Canada,Paraguay,1,0
Congo DR,Uruguay,0,1
Ghana,Sweden,0,1
