home_team,away_team,home_goal,away_goal
Iran,Uzbekistan,0,0
Iran,Turkmenistan,5,0
Iran,Hong Kong,4,0
Uzbekistan,Iran,2,2
Uzbekistan,Turkmenistan,3,1
Uzbekistan,Hong Kong,3,0
Turkmenistan,Iran,0,1
Turkmenistan,Uzbekistan,1,3
Hong Kong,Iran,2,4
Hong Kong,Uzbekistan,0,2
Iraq,Indonesia,2,0
Iraq,Vietnam,3,1
Iraq,Philippines,5,1
Indonesia,Iraq,0,2
Vietnam,Iraq,0,1
Philippines,Iraq,0,5
Jordan,Saudi Arabia,0,2
Jordan,Tajikistan,3,0
Jordan,Pakistan,7,0
Saudi Arabia,Jordan,1,2
Saudi Arabia,Tajikistan,1,0
Saudi Arabia,Pakistan,4,0
Tajikistan,Jordan,1,1
Tajikistan,Saudi Arabia,1,1
Pakistan,Jordan,0,3
Pakistan,Saudi Arabia,0,3
Australia,Palestine,5,0
Australia,Lebanon,2,0
Australia,Bangladesh,7,0
Palestine,Australia,0,1
Lebanon,Australia,0,5
Bangladesh,Australia,0,2
Iran,Uzbekistan,2,2
Iran,UAE,2,0
Iran,Qatar,4,1
Iran,Kyrgyzstan,1,0
Iran,North Korea,3,0
Uzbekistan,Iran,0,0
Uzbekistan,UAE,1,0
Uzbekistan,Qatar,3,0
Uzbekistan,Kyrgyzstan,1,0
Uzbekistan,North Korea,1,0
UAE,Iran,0,1
UAE,Uzbekistan,0,0
UAE,Qatar,5,0
Qatar,Iran,1,0
Qatar,Uzbekistan,3,2
Qatar,UAE,1,3
Qatar,Kyrgyzstan,3,1
Qatar,North Korea,5,1
Kyrgyzstan,Iran,2,3
Kyrgyzstan,Uzbekistan,2,3
Kyrgyzstan,Qatar,3,1
North Korea,Iran,2,3
North Korea,Uzbekistan,0,1
North Korea,Qatar,2,2
South Korea,Jordan,1,1
South Korea,Iraq,3,2
South Korea,Oman,1,1
South Korea,Palestine,0,0
South Korea,Kuwait,4,0
Jordan,South Korea,0,2
Jordan,Iraq,0,1
Jordan,Oman,4,0
Jordan,Palestine,3,1
Jordan,Kuwait,1,1
Iraq,South Korea,0,2
Iraq,Jordan,0,0
Iraq,Oman,1,0
Iraq,Palestine,1,0
Iraq,Kuwait,2,2
Oman,South Korea,1,3
Oman,Jordan,0,3
Oman,Iraq,0,1
Palestine,South Korea,1,1
Palestine,Jordan,1,3
Palestine,Iraq,2,1
Kuwait,South Korea,1,3
Kuwait,Jordan,1,1
Kuwait,Iraq,0,0
Japan,Australia,1,1
Japan,Saudi Arabia,0,0
Japan,Indonesia,6,0
Japan,China,7,0
Japan,Bahrain,2,0
Australia,Japan,1,0
Australia,Saudi Arabia,0,0
Australia,Indonesia,5,1
Australia,China,3,1
Australia,Bahrain,0,1
Saudi Arabia,Japan,0,2
Saudi Arabia,Australia,0,0
Saudi Arabia,Indonesia,2,0
Saudi Arabia,China,1,2
Saudi Arabia,Bahrain,0,0
Indonesia,Japan,2,0
Indonesia,Australia,1,0
Indonesia,Saudi Arabia,0,2
China,Japan,1,3
China,Australia,1,0
China,Saudi Arabia,2,1
Bahrain,Japan,0,2
Bahrain,Australia,2,2
Bahrain,Saudi Arabia,0,0
Qatar,UAE,1,0
Oman,Qatar,1,1
Saudi Arabia,Iraq,0,0
Indonesia,Saudi Arabia,0,2
Iraq,Indonesia,1,0
UAE,Iraq,1,1
Iraq,UAE,2,1
Egypt,Burkina Faso,2,1
Egypt,Sierra Leone,1,0
Egypt,Guinea-Bissau,1,0
Egypt,Ethiopia,2,0
Egypt,Djibouti,6,0
Burkina Faso,Egypt,0,0
Sierra Leone,Egypt,0,2
Guinea-Bissau,Egypt,1,1
Ethiopia,Egypt,0,2
Djibouti,Egypt,0,3
Senegal,Sudan,2,0
Senegal,Togo,2,0
Senegal,Mauritania,4,0
Senegal,South Sudan,4,0
Sudan,Senegal,0,0
Togo,Senegal,0,0
Mauritania,Senegal,0,1
South Sudan,Senegal,0,5
South Africa,Nigeria,1,1
South Africa,Benin,2,1
South Africa,Lesotho,0,3
South Africa,Rwanda,3,0
South Africa,Zimbabwe,3,1
Nigeria,South Africa,1,1
Benin,South Africa,0,2
Lesotho,South Africa,0,3
Rwanda,South Africa,2,0
Zimbabwe,South Africa,0,0
Ivory Coast,Gabon,1,0
Ivory Coast,Gambia,1,0
Ivory Coast,Kenya,3,0
Ivory Coast,Burundi,1,0
Ivory Coast,Seychelles,9,0
Gabon,Ivory Coast,0,0
Gambia,Ivory Coast,0,2
Kenya,Ivory Coast,0,0
Burundi,Ivory Coast,0,1
Seychelles,Ivory Coast,0,7
Algeria,Uganda,2,1
Algeria,Mozambique,5,1
Algeria,Guinea,1,2
Algeria,Botswana,3,1
Algeria,Somalia,3,1
Uganda,Algeria,1,2
Mozambique,Algeria,0,2
Guinea,Algeria,0,0
Botswana,Algeria,1,3
Somalia,Algeria,0,3
Tunisia,Namibia,3,0
Tunisia,Liberia,3,0
Tunisia,Malawi,2,0
Tunisia,Equatorial Guinea,1,0
Tunisia,São Tomé & Príncipe,4,0
Namibia,Tunisia,0,0
Liberia,Tunisia,0,1
Malawi,Tunisia,0,1
Equatorial Guinea,Tunisia,0,1
São Tomé & Príncipe,Tunisia,0,6
Ghana,Madagascar,1,0
Ghana,Mali,1,2
Ghana,Comoros,5,0
Ghana,Central African Republic,2,1
Ghana,Chad,5,0
Mali,Ghana,0,2
Comoros,Ghana,2,1
Central African Republic,Ghana,0,3
Chad,Ghana,1,2
Madagascar,Ghana,0,2
Curaçao,Saint Lucia,4,0
Haiti,Curaçao,1,5
Haiti,Saint Lucia,2,1
Haiti,Barbados,2,1
Curaçao,Barbados,4,1
Aruba,Curaçao,0,2
Aruba,Haiti,0,5
Panama,Nicaragua,3,0
Panama,Guyana,2,0
Montserrat,Panama,1,3
Belize,Panama,0,2
Suriname,Panama,0,0
Trinidad & Tobago,Curaçao,0,0
Haiti,Honduras,0,0
Costa Rica,Haiti,3,3
Panama,Guatemala,1,1
Curaçao,Bermuda,3,2
Nicaragua,Haiti,0,3
El Salvador,Panama,0,1
Curaçao,Jamaica,2,0
Panama,Suriname,1,1
Honduras,Haiti,3,0
Curaçao,Trinidad & Tobago,1,1
Guatemala,Panama,2,3
Bermuda,Curaçao,0,7
Haiti,Costa Rica,1,0
Panama,El Salvador,3,0
Jamaica,Curaçao,0,0
Haiti,Nicaragua,2,0
New Zealand,Tahiti,3,0
New Zealand,Vanuatu,8,1
New Zealand,Samoa,3,0
New Zealand,Fiji,7,0
New Zealand,New Caledonia,3,0
